price,type=BTC close=968.29,high=968.29,low=968.29,open=968.29,volume=0 1483228740000000000
price,type=BTC close=964.54,high=964.78,low=964.54,open=965.08,volume=35000 1483230420000000000
price,type=BTC close=964.54,high=964.54,low=964.54,open=964.54,volume=0 1483230480000000000
price,type=BTC close=964.91,high=964.92,low=964.91,open=964.54,volume=8000 1483230540000000000
price,type=BTC close=964.91,high=964.91,low=964.91,open=964.91,volume=0 1483230600000000000
price,type=BTC close=964.91,high=964.91,low=964.91,open=964.91,volume=0 1483230660000000000
price,type=BTC close=964.92,high=964.92,low=964.92,open=964.91,volume=2500 1483230720000000000
price,type=BTC close=964.92,high=964.92,low=964.92,open=964.92,volume=0 1483230780000000000
price,type=BTC close=965.01,high=965.01,low=965.01,open=964.92,volume=1 1483230840000000000
price,type=BTC close=967.38,high=967.38,low=965.57,open=965.01,volume=59000 1483230900000000000
price,type=BTC close=965.88,high=965.88,low=965.88,open=967.38,volume=1 1483230960000000000
price,type=BTC close=967.65,high=967.65,low=967.64,open=965.88,volume=3000 1483231020000000000
price,type=BTC close=967.77,high=967.77,low=967.77,open=967.65,volume=7000 1483231080000000000
price,type=BTC close=967.82,high=967.82,low=967.81,open=967.77,volume=2500 1483231140000000000
price,type=BTC close=967.82,high=967.82,low=967.82,open=967.82,volume=0 1483231200000000000
price,type=BTC close=967.82,high=967.82,low=967.82,open=967.82,volume=0 1483231260000000000
price,type=BTC close=967.82,high=967.82,low=967.82,open=967.82,volume=0 1483231320000000000
price,type=BTC close=967.82,high=967.82,low=967.82,open=967.82,volume=0 1483231380000000000
price,type=BTC close=967.08,high=967.08,low=967.08,open=967.82,volume=50 1483231440000000000
price,type=BTC close=967.4,high=967.4,low=967.4,open=967.08,volume=50 1483231500000000000
price,type=BTC close=967.4,high=967.4,low=967.4,open=967.4,volume=0 1483231560000000000
price,type=BTC close=967.4,high=967.4,low=967.4,open=967.4,volume=0 1483231620000000000
price,type=BTC close=967.4,high=967.4,low=967.4,open=967.4,volume=0 1483231680000000000
price,type=BTC close=967.4,high=967.4,low=967.4,open=967.4,volume=0 1483231740000000000
price,type=BTC close=967.4,high=967.4,low=967.4,open=967.4,volume=0 1483231800000000000
price,type=BTC close=967.4,high=967.4,low=967.4,open=967.4,volume=0 1483231860000000000
price,type=BTC close=967.4,high=967.4,low=967.4,open=967.4,volume=0 1483231920000000000
price,type=BTC close=967.9,high=967.9,low=967.87,open=967.4,volume=7000 1483231980000000000
price,type=BTC close=968.08,high=968.08,low=967.9,open=967.9,volume=7000 1483232040000000000
price,type=BTC close=968.08,high=968.08,low=968.08,open=968.08,volume=0 1483232100000000000
price,type=BTC close=966.89,high=966.89,low=966.89,open=968.08,volume=1 1483232160000000000
price,type=BTC close=968.0,high=968.0,low=968.0,open=966.89,volume=1001 1483232220000000000
price,type=BTC close=967.62,high=967.62,low=967.62,open=968.0,volume=1 1483232280000000000
price,type=BTC close=968.0,high=968.0,low=968.0,open=967.62,volume=5 1483232340000000000
price,type=BTC close=968.0,high=968.0,low=968.0,open=968.0,volume=0 1483232400000000000
price,type=BTC close=968.0,high=968.0,low=968.0,open=968.0,volume=0 1483232460000000000
price,type=BTC close=968.0,high=968.0,low=968.0,open=968.0,volume=0 1483232520000000000
price,type=BTC close=968.1,high=968.1,low=968.09,open=968.0,volume=1002 1483232580000000000
price,type=BTC close=968.1,high=968.1,low=968.1,open=968.1,volume=0 1483232640000000000
price,type=BTC close=968.1,high=968.1,low=968.1,open=968.1,volume=0 1483232700000000000
price,type=BTC close=968.1,high=968.1,low=968.1,open=968.1,volume=0 1483232760000000000
price,type=BTC close=967.62,high=967.62,low=967.62,open=968.1,volume=2500 1483232820000000000
price,type=BTC close=967.98,high=967.98,low=967.98,open=967.62,volume=1000 1483232880000000000
price,type=BTC close=967.62,high=967.96,low=967.62,open=967.98,volume=1700 1483232940000000000
price,type=BTC close=967.0,high=967.7,low=967.0,open=967.62,volume=27888 1483233000000000000
price,type=BTC close=967.0,high=967.0,low=967.0,open=967.0,volume=1500 1483233060000000000
price,type=BTC close=967.0,high=967.0,low=967.0,open=967.0,volume=0 1483233120000000000
price,type=BTC close=967.0,high=967.0,low=967.0,open=967.0,volume=1100 1483233180000000000
price,type=BTC close=966.29,high=967.0,low=966.29,open=967.0,volume=4988 1483233240000000000
price,type=BTC close=966.28,high=966.29,low=966.28,open=966.29,volume=3068 1483233300000000000
price,type=BTC close=966.28,high=966.28,low=966.28,open=966.28,volume=0 1483233360000000000
price,type=BTC close=966.28,high=966.28,low=966.28,open=966.28,volume=0 1483233420000000000
price,type=BTC close=966.28,high=966.28,low=966.28,open=966.28,volume=0 1483233480000000000
price,type=BTC close=966.28,high=966.28,low=966.28,open=966.28,volume=0 1483233540000000000
price,type=BTC close=966.28,high=966.28,low=966.28,open=966.28,volume=0 1483233600000000000
price,type=BTC close=966.28,high=966.28,low=966.28,open=966.28,volume=0 1483233660000000000
price,type=BTC close=966.0,high=966.29,low=966.0,open=966.28,volume=5000 1483233720000000000
price,type=BTC close=965.0,high=966.65,low=965.0,open=966.0,volume=11271 1483233780000000000
price,type=BTC close=965.0,high=966.66,low=965.0,open=965.0,volume=14200 1483233840000000000
price,type=BTC close=964.09,high=965.01,low=964.09,open=965.0,volume=76593 1483233900000000000
price,type=BTC close=964.0,high=964.0,low=964.0,open=964.09,volume=1120 1483233960000000000
price,type=BTC close=964.0,high=964.0,low=964.0,open=964.0,volume=60 1483234020000000000
price,type=BTC close=964.0,high=964.0,low=964.0,open=964.0,volume=111 1483234080000000000
price,type=BTC close=964.0,high=964.0,low=964.0,open=964.0,volume=0 1483234140000000000
price,type=BTC close=964.76,high=964.76,low=964.76,open=964.0,volume=500 1483234200000000000
price,type=BTC close=964.76,high=964.76,low=964.76,open=964.76,volume=0 1483234260000000000
price,type=BTC close=964.76,high=964.76,low=964.76,open=964.76,volume=0 1483234320000000000
price,type=BTC close=964.76,high=964.76,low=964.76,open=964.76,volume=0 1483234380000000000
price,type=BTC close=964.76,high=964.76,low=964.76,open=964.76,volume=0 1483234440000000000
price,type=BTC close=964.76,high=964.76,low=964.76,open=964.76,volume=0 1483234500000000000
price,type=BTC close=964.76,high=964.76,low=964.76,open=964.76,volume=0 1483234560000000000
price,type=BTC close=964.85,high=967.48,low=964.69,open=964.76,volume=107021 1483234620000000000
price,type=BTC close=966.25,high=966.25,low=964.85,open=964.85,volume=529 1483234680000000000
